trip_instance_id,knn_dist,y
2026-03-20_1496812_U_130,0.1403309851884842,1
2026-03-20_1496812_U_139,0.047656841576099396,0
2026-03-20_1496812_U_142,0.019433829933404922,0
2026-03-20_1496812_U_143,0.01855967938899994,1
2026-03-20_1496812_U_144,0.03259950131177902,1
2026-03-20_1496812_U_149,0.13172203302383423,1
2026-03-20_1496812_U_151,0.07464683800935745,0
2026-03-20_1496812_U_152,0.03778509423136711,0
2026-03-20_1496812_U_153,0.051083799451589584,0
2026-03-20_1496812_U_154,0.01656343974173069,0
2026-03-20_1496812_U_155,0.027648014947772026,1
2026-03-20_1496812_U_19,0.07828029245138168,1
2026-03-20_1496812_U_48,0.10143599659204483,1
2026-03-20_1496812_U_49,0.07437288016080856,1
2026-03-20_1496812_U_57,0.07290022820234299,1
2026-03-20_1496812_U_72,0.06593980640172958,1
2026-03-20_1496812_U_74,0.048863112926483154,0
2026-03-20_1496812_U_8,0.06269367784261703,1
2026-03-20_1496812_U_82,0.0652434453368187,1
2026-03-20_1496812_U_84,0.0678628534078598,0
2026-03-20_1496812_U_93,0.07769810408353806,1
2026-03-20_1496820_U_10,0.06865840405225754,0
2026-03-20_1496820_U_4,0.1338377296924591,0
2026-03-20_1496820_U_5,0.043838825076818466,0
2026-03-20_1496820_U_8,0.13174715638160706,0
2026-03-20_1496820_U_9,0.06692146509885788,0
2026-03-20_1497250_U_17,0.105567567050457,0
2026-03-20_1497250_U_18,0.1358179897069931,0
2026-03-20_1497250_U_19,0.05899534374475479,0
2026-03-20_1497250_U_20,0.10852187126874924,0
2026-03-20_1497250_U_21,0.06496348232030869,0
2026-03-20_1497250_U_22,0.04223399981856346,0
2026-03-20_1497250_U_23,0.04760121926665306,0
2026-03-20_1497250_U_24,0.04265787824988365,0
2026-03-20_1497250_U_25,0.011919013224542141,0
2026-03-20_1497250_U_26,0.04072168096899986,0
2026-03-20_1497250_U_41,0.12424128502607346,1
2026-03-20_1497250_U_42,0.12677781283855438,0
2026-03-20_1497250_U_44,0.059992123395204544,0
2026-03-20_1497250_U_46,0.06789883226156235,0
2026-03-20_1497250_U_47,0.04994582757353783,0
2026-03-20_1497250_U_48,0.03734810650348663,0
2026-03-20_1497250_U_49,0.009357437491416931,0
2026-03-20_1497250_U_50,0.013283289037644863,0
2026-03-20_1497250_U_51,0.018683189526200294,0
2026-03-20_1497250_U_52,0.01670650951564312,0
2026-03-20_1497251_U_15,0.0397452674806118,0
2026-03-20_1497251_U_20,0.11070284992456436,0
2026-03-20_1497251_U_21,0.03679834306240082,0
2026-03-20_1497251_U_27,0.11854936927556992,1
2026-03-20_1497251_U_29,0.05909574031829834,0
2026-03-20_1497251_U_35,0.08234796673059464,0
2026-03-20_1497251_U_36,0.05369153246283531,1
2026-03-20_1497251_U_37,0.02572375349700451,1
2026-03-20_1497251_U_41,0.07548480480909348,1
2026-03-20_1497251_U_47,0.052535999566316605,0
2026-03-20_1497251_U_48,0.0518789179623127,1
2026-03-20_1497251_U_53,0.06632230430841446,0
2026-03-20_1497251_U_62,0.03913801163434982,0
2026-03-20_1497251_U_63,0.02254732884466648,0
2026-03-20_1497251_U_64,0.019003111869096756,0
2026-03-20_1497251_U_68,0.06866276264190674,0
2026-03-20_1497251_U_7,0.07150246948003769,0
2026-03-20_1497251_U_70,0.06441100686788559,1
2026-03-20_1497251_U_71,0.06681279838085175,0
2026-03-20_1497251_U_73,0.03767988085746765,1
2026-03-20_1497251_U_8,0.046934209764003754,1
2026-03-20_1497252_U_13,0.10475440323352814,1
2026-03-20_1497252_U_14,0.046437159180641174,0
2026-03-20_1497252_U_2,0.05042317137122154,0
2026-03-20_1497252_U_37,0.03509599715471268,1
2026-03-20_1497252_U_38,0.035433199256658554,0
2026-03-20_1497252_U_39,0.02421737089753151,0
2026-03-20_1497252_U_45,0.05671510100364685,0
2026-03-20_1497252_U_50,0.07086681574583054,1
2026-03-20_1497252_U_55,0.0601789765059948,1
2026-03-20_1497252_U_58,0.05455682426691055,1
2026-03-20_1497252_U_67,0.05102665349841118,0
2026-03-20_1497252_U_7,0.05732202157378197,0
2026-03-20_1497252_U_72,0.04391742870211601,1
2026-03-20_1497252_U_73,0.05803411826491356,0
2026-03-20_1497252_U_74,0.02182403765618801,1
2026-03-20_1497252_U_8,0.032672371715307236,0
2026-03-20_1497252_U_80,0.06723959743976593,0
2026-03-20_1497253_U_100,0.017587974667549133,0
2026-03-20_1497253_U_35,0.12756939232349396,0
