trip_instance_id,recon_mse,split,y
2026-03-11_1348037_U_50,0.58080304,history,0
2026-03-11_1348037_U_52,0.33750173,history,1
2026-03-11_1348037_U_6,0.18764561,history,0
2026-03-11_1348037_U_7,0.299963,history,0
2026-03-11_1348037_U_8,0.39171952,history,0
2026-03-11_1348037_U_9,0.5791944,history,0
2026-03-11_1349260_U_1,0.9056062,history,0
2026-03-11_1349260_U_10,0.6317519,history,1
2026-03-11_1349260_U_11,0.4100417,history,0
2026-03-11_1349260_U_12,0.73317975,history,0
2026-03-11_1349260_U_13,0.8586426,history,1
2026-03-11_1349260_U_18,1.0727111,history,1
2026-03-11_1349260_U_19,0.11671694,history,0
2026-03-11_1349260_U_2,0.82653373,history,0
2026-03-11_1349260_U_20,0.29794472,history,0
2026-03-11_1349260_U_21,0.23827438,history,0
2026-03-11_1349260_U_22,0.8032893,history,0
2026-03-11_1349260_U_24,0.22627565,history,0
2026-03-11_1349260_U_25,0.2627694,history,0
2026-03-11_1349260_U_26,1.1159897,history,0
2026-03-11_1349260_U_28,0.23596889,history,0
2026-03-11_1349260_U_29,1.2419393,history,0
2026-03-11_1349260_U_3,0.17391078,history,0
2026-03-11_1349260_U_30,0.34911555,history,1
2026-03-11_1349260_U_32,0.119380265,history,0
2026-03-11_1349260_U_33,0.17768292,history,0
2026-03-11_1349260_U_35,1.0453057,history,0
2026-03-11_1349260_U_36,1.5378401,history,0
2026-03-11_1349260_U_4,0.23167804,history,1
2026-03-11_1349260_U_7,0.78603125,history,0
2026-03-11_1349260_U_8,0.9965881,history,0
2026-03-11_1359254_U_1,0.19390321,history,0
2026-03-11_1359254_U_10,0.37114128,history,1
2026-03-11_1359254_U_12,0.47857246,history,1
2026-03-11_1359254_U_13,0.12343111,history,0
2026-03-11_1359254_U_14,0.14576194,history,1
2026-03-11_1359254_U_16,0.13774982,history,0
2026-03-11_1359254_U_18,0.33948645,history,1
2026-03-11_1359254_U_19,0.103361666,history,1
2026-03-11_1359254_U_2,0.16157155,history,0
2026-03-11_1359254_U_21,0.26672786,history,1
2026-03-11_1359254_U_22,0.16374746,history,1
2026-03-11_1359254_U_23,0.17045663,history,0
2026-03-11_1359254_U_24,0.19171065,history,1
2026-03-11_1359254_U_25,0.14903216,history,0
2026-03-11_1359254_U_28,0.173377,history,0
2026-03-11_1359254_U_31,0.16443704,history,0
2026-03-11_1359254_U_33,0.20494112,history,1
2026-03-11_1359254_U_34,0.3646656,history,1
2026-03-11_1359254_U_35,0.28731474,history,0
2026-03-11_1359254_U_37,0.13529152,history,0
2026-03-11_1359254_U_38,0.17002112,history,1
2026-03-11_1359254_U_39,0.14607497,history,1
2026-03-11_1359254_U_4,0.1820812,history,0
2026-03-11_1359254_U_40,0.21226554,history,1
2026-03-11_1359254_U_43,0.11118877,history,1
2026-03-11_1359254_U_45,0.14595209,history,1
2026-03-11_1359254_U_48,0.42857206,history,0
2026-03-11_1359254_U_49,0.210626,history,0
2026-03-11_1359254_U_5,0.40385386,history,1
2026-03-11_1359254_U_50,0.22420017,history,1
2026-03-11_1359254_U_52,0.23703818,history,0
2026-03-11_1359254_U_53,0.17680928,history,1
2026-03-11_1359254_U_54,0.12818584,history,0
2026-03-11_1359254_U_55,0.36936396,history,1
2026-03-11_1359254_U_56,0.27701265,history,1
2026-03-11_1359254_U_57,0.46692395,history,0
2026-03-11_1359254_U_58,0.23426056,history,0
