fold,feature,beta,se,wald_z,p
5,std(rain_mm),-0.12962559,0.07105023328336484,-1.824421717779516,0.06808834115893858
5,std(headway_min),-0.0165051,0.02896118012471685,-0.5699042567303875,0.568742637605629
5,min(speed_mps),-0.05783014,0.037196330106218624,-1.5547270343466764,0.12001109319163517
5,min(accel),0.21058936,0.13701356163290934,1.5369964962683416,0.12429416737785748
5,min(heading_change),0.004332786,0.017727939136948177,0.24440437925785516,0.8069176504484565
5,min(progress_frac),0.50198984,0.044759140370399686,11.215359305541082,0.0
5,min(progress_rate),0.015221263,0.0378640240938937,0.40199803497525605,0.6876854724348922
5,min(cross_track_m),-0.004228204,0.018864658337710557,-0.22413361256804645,0.8226533386804917
5,min(dwell_frac),0.16868153,0.027960101353825807,6.032937077370989,1.6100611954783517e-09
5,min(tod_sin),-0.11390894,35.16909808363307,-0.003238892814159479,0.9974157419478158
5,min(tod_cos),0.05625464,30.957227330020956,0.0018171730827793641,0.998550106450897
5,min(is_weekend),0.1485472,94944.78485844709,1.564564105023543e-06,0.9999987516584563
5,min(rain_mm),0.040469654,0.037421314075198255,1.0814599889013548,0.27949254943394775
5,min(headway_min),0.11521521,24842.015162060965,4.637917308844687e-06,0.999996299477385
5,max(speed_mps),-0.017756246,0.2370025608771838,-0.07492005978590272,0.9402783160095949
5,max(accel),0.31229863,0.10905155867294435,2.863770399139719,0.004186313357341209
5,max(heading_change),-0.09950723,0.05200536278155765,-1.913403199550486,0.05569645511361232
5,max(progress_frac),0.18556717,0.04549057816581875,4.079244051485362,4.5182384633468686e-05
5,max(progress_rate),-0.41910207,0.18364083562872116,-2.2821834331177064,0.022478512774372073
5,max(cross_track_m),0.5322799,0.051670931978795,10.301341359112971,0.0
5,max(dwell_frac),0.030068066,0.01900508099435134,1.582106699785856,0.11362521441049345
5,max(tod_sin),-0.09649208,35.0274198915861,-0.0027547584771936834,0.9978020235222687
5,max(tod_cos),0.04377478,35.83671152003279,0.0012215066067526067,0.9990253789799219
5,max(is_weekend),0.1485472,92859.4929782646,1.5996986154498946e-06,0.9999987236251728
5,max(rain_mm),0.1766082,0.08871614464428247,1.9907109979783788,0.046512668912749966
5,max(headway_min),0.11521521,24776.332570249688,4.650212527622026e-06,0.9999962896672199
